protocol=4 seed=67 ops=10000
DET scan_inverted 0
DET scan_snapshot 1
DET delrange_empty ok
SCAN [key4291, key7368) key5834=>value38460
SCAN [key3265, key5333)
SCAN [key1973, key8197) key6264=>value37566 key6367=>value76404 key7585=>value13816 key763=>value67406 key7702=>value35171
SCAN [key2429, key3029)
SCAN [key1107, key2794) key1751=>value31479 key2063=>value93730 key2785=>value24879
SCAN [key7537, key7848) key7585=>value13816 key763=>value67406 key7702=>value35171
SCAN [key1165, key1310)
SCAN [key252, key4731) key2785=>value24879 key3331=>value74242 key4355=>value50951
SCAN [key3363, key6712) key4355=>value50951 key4743=>value62419 key4805=>value62512 key500=>value40865 key5168=>value92958 key5474=>value21550 key567=>value60803 key6042=>value37665 key6264=>value37566 key6367=>value76404 key6430=>value51577
SCAN [key1928, key630) key2063=>value93730 key2469=>value43989 key2785=>value24879 key3209=>value7347 key3331=>value74242 key4254=>value25881 key4355=>value50951 key4743=>value62419 key4805=>value62512 key500=>value40865 key5168=>value92958 key5474=>value21550 key567=>value60803 key6042=>value37665 key6264=>value37566
SCAN [key5785, key5922)
SCAN [key1637, key9310) key1751=>value31479 key2063=>value93730 key2469=>value43989 key2626=>value25656 key2785=>value24879 key3209=>value7347 key3331=>value74242 key3638=>value46563 key4118=>value80796 key4254=>value25881 key4355=>value50951 key4743=>value62419 key4780=>value68525 key4805=>value62512 key4842=>value58962 key500=>value40865 key5168=>value92958 key5474=>value21550 key567=>value60803 key5750=>value72405 key6042=>value37665 key6264=>value37566 key6367=>value76404 key6430=>value51577 key6851=>value22187 key6878=>value59583 key6998=>value13937 key7005=>value10436 key7074=>value25092 key7585=>value13816 key763=>value67406 key7702=>value35171 key7887=>value95419 key8352=>value62105 key8444=>value95942 key8468=>value52063 key8560=>value66359 key8772=>value64723
SCAN [key402, key8083) key4118=>value80796 key4254=>value25881 key4355=>value50951 key4743=>value62419 key4780=>value68525 key4805=>value62512 key4842=>value58962 key500=>value40865 key5168=>value92958 key524=>value66450 key5474=>value21550 key567=>value60803 key5750=>value72405
SCAN [key1117, key2618) key1751=>value31479 key2000=>value44595 key2063=>value93730 key2452=>value29526 key2469=>value43989
SCAN [key3715, key9236) key4118=>value80796 key4254=>value25881 key4355=>value50951 key4743=>value62419 key4780=>value68525 key4805=>value62512 key4842=>value58962 key500=>value40865 key5168=>value92958 key524=>value66450 key5474=>value21550 key567=>value60803 key5750=>value72405 key6712=>value41805 key7280=>value90678 key8588=>value37109
SCAN [key6552, key8225) key6712=>value41805 key7280=>value90678
SCAN [key2625, key7926) key2626=>value25656 key2638=>value42532 key2785=>value24879 key3209=>value7347 key3331=>value74242 key3436=>value32787 key3638=>value46563 key388=>value8057 key4118=>value80796 key4254=>value25881 key4355=>value50951 key4743=>value62419 key4780=>value68525 key4805=>value62512 key4842=>value58962 key500=>value40865 key5168=>value92958 key524=>value66450 key5474=>value21550 key567=>value60803 key5750=>value72405 key6712=>value41805 key7280=>value90678
SCAN [key3903, key4671) key4118=>value80796 key4254=>value25881 key4355=>value50951
SCAN [key3515, key8112) key3638=>value46563 key388=>value8057 key4118=>value80796 key4132=>value70682 key4254=>value25881 key4314=>value33055 key4318=>value60311 key4355=>value50951 key4378=>value56145 key4743=>value62419 key4780=>value68525 key4793=>value22912 key4805=>value62512 key4842=>value58962 key4844=>value74908 key4976=>value60100 key500=>value40865 key5061=>value17222 key5155=>value47158 key5168=>value92958 key524=>value66450 key5413=>value93720 key5474=>value21550 key567=>value60803 key5750=>value72405 key5819=>value88991 key5905=>value56048 key605=>value86122 key6305=>value71519 key6558=>value77029 key6698=>value13136 key6712=>value41805 key7288=>value11673
SCAN [key1592, key2227) key1658=>value72449 key1692=>value28343 key1751=>value31479 key2000=>value44595 key2063=>value93730
SCAN [key4500, key5820) key4743=>value62419 key4780=>value68525 key4793=>value22912 key4803=>value12556 key4805=>value62512 key4842=>value58962 key4844=>value74908 key4976=>value60100 key500=>value40865 key5061=>value17222 key5155=>value47158 key5168=>value92958
SCAN [key4586, key9247) key4743=>value62419 key4780=>value68525 key4793=>value22912 key4803=>value12556 key4805=>value62512 key4842=>value58962 key4844=>value74908 key4976=>value60100 key500=>value40865 key5061=>value17222 key5155=>value47158 key5168=>value92958 key5218=>value60148 key8848=>value99331
SCAN [key5499, key7597)
